"system","sweep","arm","x","success"
"lorenz","n","Ridge-OLS (baseline)",2,0
"lorenz","n","Ridge-OLS (baseline)",2.1,0
"lorenz","n","Ridge-OLS (baseline)",2.2,0
"lorenz","n","Ridge-OLS (baseline)",2.3,0
"lorenz","n","Ridge-OLS (baseline)",2.4,0
"lorenz","n","Ridge-OLS (baseline)",2.5,0.06
"lorenz","n","Ridge-OLS (baseline)",2.6,0.12
"lorenz","n","Ridge-OLS (baseline)",2.7,0.28
"lorenz","n","Ridge-OLS (baseline)",2.8,0.5
"lorenz","n","Ridge-OLS (baseline)",2.9,0.66
"lorenz","n","Ridge-OLS (baseline)",3,0.87
"lorenz","n","Ridge-OLS (baseline)",3.1,0.88
"lorenz","n","Ridge-OLS (baseline)",3.2,0.92
"lorenz","n","Ridge-OLS (baseline)",3.3,0.9
"lorenz","n","Ridge-OLS (baseline)",3.4,0.95
"lorenz","n","Ridge-OLS (baseline)",3.5,0.95
"lorenz","n","Ridge-OLS (baseline)",3.6,0.94
"lorenz","n","Ridge-OLS (baseline)",3.7,0.97
"lorenz","n","Ridge-OLS (baseline)",3.8,0.99
"lorenz","n","Ridge-OLS (baseline)",3.9,0.97
"lorenz","n","Ridge-OLS (baseline)",4,1
"lorenz","n","Ridge-OLS (baseline)",4.1,0.98
"lorenz","n","Ridge-OLS (baseline)",4.2,1
"lorenz","n","Ridge-OLS (baseline)",4.3,0.99
"lorenz","n","Ridge-OLS (baseline)",4.4,0.98
"lorenz","n","Ridge-OLS (baseline)",4.5,0.96
"lorenz","n","Ridge-OLS (baseline)",4.6,1
"lorenz","n","Ridge-OLS (baseline)",4.7,0.99
"lorenz","n","Ridge-OLS (baseline)",4.8,1
"lorenz","n","Ridge-OLS (baseline)",4.9,1
"lorenz","n","Ridge-OLS (baseline)",5,1
"lorenz","n","OLS-Ridge",2,0
"lorenz","n","OLS-Ridge",2.1,0
"lorenz","n","OLS-Ridge",2.2,0
"lorenz","n","OLS-Ridge",2.3,0
"lorenz","n","OLS-Ridge",2.4,0
"lorenz","n","OLS-Ridge",2.5,0
"lorenz","n","OLS-Ridge",2.6,0.03
"lorenz","n","OLS-Ridge",2.7,0.09
"lorenz","n","OLS-Ridge",2.8,0.25
"lorenz","n","OLS-Ridge",2.9,0.36
"lorenz","n","OLS-Ridge",3,0.53
"lorenz","n","OLS-Ridge",3.1,0.62
"lorenz","n","OLS-Ridge",3.2,0.65
"lorenz","n","OLS-Ridge",3.3,0.74
"lorenz","n","OLS-Ridge",3.4,0.79
"lorenz","n","OLS-Ridge",3.5,0.82
"lorenz","n","OLS-Ridge",3.6,0.85
"lorenz","n","OLS-Ridge",3.7,0.85
"lorenz","n","OLS-Ridge",3.8,0.93
"lorenz","n","OLS-Ridge",3.9,0.91
"lorenz","n","OLS-Ridge",4,0.96
"lorenz","n","OLS-Ridge",4.1,0.97
"lorenz","n","OLS-Ridge",4.2,0.99
"lorenz","n","OLS-Ridge",4.3,1
"lorenz","n","OLS-Ridge",4.4,0.99
"lorenz","n","OLS-Ridge",4.5,1
"lorenz","n","OLS-Ridge",4.6,1
"lorenz","n","OLS-Ridge",4.7,1
"lorenz","n","OLS-Ridge",4.8,1
"lorenz","n","OLS-Ridge",4.9,1
"lorenz","n","OLS-Ridge",5,1
"lorenz","n","OLS-OLS",2,0
"lorenz","n","OLS-OLS",2.1,0
"lorenz","n","OLS-OLS",2.2,0
"lorenz","n","OLS-OLS",2.3,0
"lorenz","n","OLS-OLS",2.4,0
"lorenz","n","OLS-OLS",2.5,0.04
"lorenz","n","OLS-OLS",2.6,0.17
"lorenz","n","OLS-OLS",2.7,0.24
"lorenz","n","OLS-OLS",2.8,0.44
"lorenz","n","OLS-OLS",2.9,0.72
"lorenz","n","OLS-OLS",3,0.88
"lorenz","n","OLS-OLS",3.1,0.87
"lorenz","n","OLS-OLS",3.2,0.94
"lorenz","n","OLS-OLS",3.3,0.98
"lorenz","n","OLS-OLS",3.4,0.97
"lorenz","n","OLS-OLS",3.5,0.94
"lorenz","n","OLS-OLS",3.6,0.95
"lorenz","n","OLS-OLS",3.7,0.95
"lorenz","n","OLS-OLS",3.8,0.98
"lorenz","n","OLS-OLS",3.9,0.98
"lorenz","n","OLS-OLS",4,1
"lorenz","n","OLS-OLS",4.1,1
"lorenz","n","OLS-OLS",4.2,1
"lorenz","n","OLS-OLS",4.3,1
"lorenz","n","OLS-OLS",4.4,1
"lorenz","n","OLS-OLS",4.5,1
"lorenz","n","OLS-OLS",4.6,1
"lorenz","n","OLS-OLS",4.7,1
"lorenz","n","OLS-OLS",4.8,1
"lorenz","n","OLS-OLS",4.9,1
"lorenz","n","OLS-OLS",5,1
"lorenz","n","Ridge-Ridge",2,0
"lorenz","n","Ridge-Ridge",2.1,0
"lorenz","n","Ridge-Ridge",2.2,0
"lorenz","n","Ridge-Ridge",2.3,0
"lorenz","n","Ridge-Ridge",2.4,0
"lorenz","n","Ridge-Ridge",2.5,0.03
"lorenz","n","Ridge-Ridge",2.6,0.05
"lorenz","n","Ridge-Ridge",2.7,0.12
"lorenz","n","Ridge-Ridge",2.8,0.24
"lorenz","n","Ridge-Ridge",2.9,0.29
"lorenz","n","Ridge-Ridge",3,0.5
"lorenz","n","Ridge-Ridge",3.1,0.61
"lorenz","n","Ridge-Ridge",3.2,0.69
"lorenz","n","Ridge-Ridge",3.3,0.72
"lorenz","n","Ridge-Ridge",3.4,0.77
"lorenz","n","Ridge-Ridge",3.5,0.79
"lorenz","n","Ridge-Ridge",3.6,0.79
"lorenz","n","Ridge-Ridge",3.7,0.86
"lorenz","n","Ridge-Ridge",3.8,0.9
"lorenz","n","Ridge-Ridge",3.9,0.87
"lorenz","n","Ridge-Ridge",4,0.95
"lorenz","n","Ridge-Ridge",4.1,0.97
"lorenz","n","Ridge-Ridge",4.2,0.98
"lorenz","n","Ridge-Ridge",4.3,1
"lorenz","n","Ridge-Ridge",4.4,0.97
"lorenz","n","Ridge-Ridge",4.5,0.98
"lorenz","n","Ridge-Ridge",4.6,1
"lorenz","n","Ridge-Ridge",4.7,1
"lorenz","n","Ridge-Ridge",4.8,0.99
"lorenz","n","Ridge-Ridge",4.9,1
"lorenz","n","Ridge-Ridge",5,1
"lorenz","n","Single OLS",2,0
"lorenz","n","Single OLS",2.1,0
"lorenz","n","Single OLS",2.2,0
"lorenz","n","Single OLS",2.3,0.01
"lorenz","n","Single OLS",2.4,0
"lorenz","n","Single OLS",2.5,0.05
"lorenz","n","Single OLS",2.6,0.16
"lorenz","n","Single OLS",2.7,0.25
"lorenz","n","Single OLS",2.8,0.39
"lorenz","n","Single OLS",2.9,0.56
"lorenz","n","Single OLS",3,0.65
"lorenz","n","Single OLS",3.1,0.78
"lorenz","n","Single OLS",3.2,0.78
"lorenz","n","Single OLS",3.3,0.77
"lorenz","n","Single OLS",3.4,0.75
"lorenz","n","Single OLS",3.5,0.82
"lorenz","n","Single OLS",3.6,0.89
"lorenz","n","Single OLS",3.7,0.91
"lorenz","n","Single OLS",3.8,0.85
"lorenz","n","Single OLS",3.9,0.96
"lorenz","n","Single OLS",4,0.92
"lorenz","n","Single OLS",4.1,0.94
"lorenz","n","Single OLS",4.2,0.96
"lorenz","n","Single OLS",4.3,0.95
"lorenz","n","Single OLS",4.4,0.98
"lorenz","n","Single OLS",4.5,0.97
"lorenz","n","Single OLS",4.6,0.94
"lorenz","n","Single OLS",4.7,0.96
"lorenz","n","Single OLS",4.8,0.92
"lorenz","n","Single OLS",4.9,0.98
"lorenz","n","Single OLS",5,0.93
"lorenz","n","Single Ridge",2,0
"lorenz","n","Single Ridge",2.1,0
"lorenz","n","Single Ridge",2.2,0
"lorenz","n","Single Ridge",2.3,0
"lorenz","n","Single Ridge",2.4,0
"lorenz","n","Single Ridge",2.5,0
"lorenz","n","Single Ridge",2.6,0.02
"lorenz","n","Single Ridge",2.7,0.03
"lorenz","n","Single Ridge",2.8,0.13
"lorenz","n","Single Ridge",2.9,0.17
